Label,Id
#telegram,3998
chome-ext,3847
优秀学员示范,4880
dependency: pyqt,3848
kill now,3850
c:playbook/conditional,3851
build/doc/tests,3852
jaguar,244
component: logbook,3853
c:playbook/role_include,245
state: verified fixed,3854
needs reindex,246
dead code,247
ifyouwantitdiy,248
mercator,249
tag: event,250
22 status: in-progress,3856
pull request welcome,3857
bug-directmode,251
area/ci,252
tag: regression,253
module: uas,254
ebgeo,3859
est_simple,255
branding,256
content/misleading,3860
type: defect,6714
auto - migrated from develop,3861
component: microsoft_face,257
area/performance,3862
platform: camera.mqtt,258
smpp,649
reproducible:not applicable,3864
fixed-in-dev,259
cookiecutters/scaffolds,260
3 - review,261
area: certbot-auto,262
zbackport 2.7.1,6787
needmoreinfo,263
in-flight,264
experience-needed: high,265
conceptual,266
account wanted,267
feature/ssl,268
state: blocked by upstream,269
area:settings,270
mplot3d,3868
tagged for review and potential merge,3869
platform: cloud.util,271
talk-to: @wxyxinyu,3870
might already be fixed?,3871
status/wontfix/not happening,272
c:plugins/test,3872
new_collector,273
module: projects,274
test-coverage,275
adiumtextbox,276
major api changes,277
platform: camera.uvc,278
c:plugins/cache,279
numkit,3874
pycon2017 sprint,3875
topic-sql,3876
platform: binary_sensor.xiaomi,3877
fnv,3878
feature/suggestions,4211
area:coredevice,280
component/clouddriver,281
not-a-bug,282
requires-model-update,3880
variant annotation,5405
category: new collector,3881
platform: image_processing.dlib_face_identify,283
component: releases,3883
platform: android,3884
0: easy,3885
needs external javascript rewrite,284
pie in the sky,3886
hygiene,3887
bug/in-production,3888
external-regression,1745
platform: switch.xknx,285
django-1.4,3890
django-1.3,3891
backend : elasticsearch,4790
platform: sensor.fitbit,286
a-pr-exists,287
browser: chrome,6654
billing,288
invalid (environment or otherwise not a gevent issue),3894
area: provision,289
f: submission fields,4951
tiny,3895
django-project,3896
css/sass,3897
kind - support,290
area: webpack,291
platform: sensor.vasttrafik,292
gui/nbagg,3898
platform: switch.homematic,293
component: website,294
next_release,295
ge2017,3900
web-interface,296
legacy browsers,297
privacy/security/encryption,298
prio-critical,299
format-dcd,3902
cosmology,5914
component: tdk,3903
waiting-on-author,3904
tests coverage,3905
comp:lib,300
backport-required,3906
documentation item,3907
new module,3908
component: media_helper,3909
scope: mobile,301
status: open,4159
speech synth drivers,1256
setuptools,3910
talk-to: @allanyangzhou,3911
platform: sensor.tado_v1,303
question-solved,6007
zreleased - 2017.7.0rc1,4810
priority.low,3645
moreinfoneeded,304
broken mcb,3913
orchestrator/mesos,3914
weirdness,305
in feature queue,1903
component: pyart.core,1908
component: commands,308
3rd party only,3916
waits-feedback,3917
impact function,309
docs / examples,310
wontfix-for-now,311
semver: major,1941
platform: media_player.pioneer,313
os - linux,3919
c-db,659
kind/docs,314
work: fec review,315
support:community,3921
pending pr,6589
up for review,316
no repro,317
issue-needs-clarification,318
platform: binary_sensor.verisure,3922
c:executor/task_result,320
tag: component: examples,321
component: autoscaling,6829
needs: tests failures fixed,322
★★★,323
fdev api,1995
5.3.2,3923
component:logic,3924
5.3.0,3925
fix pushed,6183
needs_shippable,3926
dtypes,3927
type: bug?,3666
prio:medium,3928
type-other,3929
linkify,325
format-amber,3931
simplification,5643
terrific!,3932
size-small,326
atc_demo_ui,6591
staging vms,327
topic: haskell,2046
mopac,329
x: oetker,4222
component: citybikes,3934
proxy minion,3935
c:playbook/included_file,330
status-fixed,331
ready to merge/rebase,3936
question?,6592
gui/webagg,3937
app-feedvalidator,332
trond,333
tvdb,334
talk-to: @oishikatta,2083
frage,336
bug (verified),3938
need information,3939
platform: sensor.version,3940
status: duplicate,337
wont-fix-myself,3942
book creation,338
code generation,339
scikit-learn integration,3943
platform: binary_sensor.raspihats,3944
a-audio,340
status: help wanted,3945
backends/virtualbox,341
template packs,342
bug-regression,3947
roadmap_candidate,343
status/1-inprogress,2149
size/m,3950
need-more-info,344
background,3952
platform: cover.lutron_qse,4817
mixed-content-bug,3953
jitclass,345
nwchem,3955
type:organization,2170
new development,3956
reviewed/ready for merge,347
platform: remote.harmony,3957
completed in beta,348
device_platforms,349
component: email,3959
status.urgent,350
transient-problem,351
trigger: cron,352
status: has testcase,3960
corner case,353
tag: webgl,3961
talk-to: @anmolshkl,354
api: speech,355
submitter_not_replying,356
platform: light.blinksticklight,4227
config revolution,357
priority: low,358
affects: tests,359
x: mh96dx,360
sourcestep,4818
needs the best merge!,361
c-qt-gui,362
a: won't fix,4228
platform: alarm_control_panel.totalconnect,3963
hypervisor-lxc,3964
possible student task,363
further details needed,364
contributing,365
waiting for update,3965
subject:algorithms,366
platform: light.hyperion,367
area: tests,368
pyflakes/pep8,3966
slurm adaptor,3967
c:inventory/inventory,369
st:needs-discussion,370
waiting for confirmation of fix,3968
@high,371
[needs] research,372
platform: sensor.yr,373
updatenotifier,374
kind: using flocker,375
gui/osx,376
postgresql,3972
epic: unified-cobrapy-cameo,377
fix (needs verification),3973
dashboard,5659
stat:deferred,378
shell file adaptor,3974
user-story,3975
f: integration,3976
主动调用,380
skill: javascript,3977
dev/2.11.x,381
:telemetry,3979
ios link,382
memento-ish,3980
tests needed,383
changelog not needed,384
gdal2,5534
carving,3981
armada,2397
state:cannot-reproduce,385
starter_task,386
c:cli/pull,387
feature-wsgi,388
needs a pr,3986
component: accessibility,3987
combinatorics,389
lunar,4407
platform: lock.lockitron,3988
area:gui,390
wordpress,391
cldr,3990
needs example data,392
gsoc-idea,393
area: fedora / redhat / centos,394
httpclient,3991
after-release,395
improvement/feature,3992
needsomeonetofinish,396
vendor:espressif,397
goals: sick ci,6024
code-cleanup,3993
cartopy experience needed: high,398
< 2.0,3673
platform: device_tracker.ubus,399
afl-multicore,400
area/docs/demo,401
platform: light.philipslight,3995
cant-reproduce,3996
love it!,402
extension-compatibility,403
platform: cover.template,404
probably-mistaken,3999
pull request wanted,405
(1) investigated,406
area/subworkflows,407
benchmarks,4001
db-mysql,4002
playback_handlers,408
bug: stable,409
opsys-windows,4003
component: dyson,4004
delete,4005
stable/2.2.x,410
aspect: parser,411
needed by: rackspace cdn,412
needs design review,6602
pri:low,413
unicode bollocks,4007
py3.6,414
severity: moderate,415
partially done,416
spam checks,417
stat:awaiting response,418
accounting,419
irsa,420
complexity:medium,4009
handler: cloudwatch,421
scipy.special,422
release target,4243
area: pkging,423
platform: notify.html5,424
chit chat,425
low-priority,4011
glacier,426
platform: light.mochad,427
component: pyart.aux_io,428
appveyor,4012
component: juicenet,429
external library,4013
component: operations,3619
domain: python-client,4014
status: paused,430
tag: building/installing,4015
type:tooling,431
qibuild,4016
feature approved,432
collector: elb,1168
needs volunteer,4018
to consider,4019
stat:contributions welcome,4020
t: unit-testing,433
provider/gce,434
☁ bug,435
component: history,436
platform: macos,437
issue-style,438
component-scripts,4021
release: master,439
platform: climate.mqtt,440
platform-python3,6605
difficulty advanced,4022
bytes-unicode,3684
c:players,441
needed by: cloud backup,4157
major bug,442
for mike,4183
platform: sensor.mqtt,4024
server setup,4025
serializer,443
platform: binary_sensor.zwave,4026
component: zeroconf,5928
rasters,444
top-100k,4028
gutter icon,4029
pass on,4030
platform:mobile,445
platform: notify.kodi,446
out of scope,4032
gpu - new back-end,447
component:projects,448
p-minor,449
themes,4034
informix,4035
package expert,6607
zmq-console,450
popularity/significant,451
status.sticky,4037
#usability,5258
fix-locator-or-text,452
backends/hetzner,453
carddav,454
component: influxdb,455
mediacontrol,456
pyric,4039
new-dataprovider-portal,2487
status/qa,458
priority-medium,4041
oversight,459
enhancement-for-developers,460
release-note-required,4042
needs: more triage,461
bug:invalid,462
component: envisalink,4043
airbnb_roadmap,463
component: climate,4044
5 - deploying,464
tronweb,4045
backport-0.6.1,4046
matrices.expressions,4047
@@slinkp,465
type_patch,466
committer_review,467
nxos,4048
platform: scene.hunterdouglas_powerview,4049
broken-ie,468
status: will not fix,469
ghostscript,4050
c-d3-vis,4051
proposals,4052
